word,x1,x2,x3,x4,x5,score,uni_len
karen,789,4103,2201,3252,1522,11867,5
tunes,1264,1824,1757,3252,3767,11864,5
arles,1698,1543,1603,3252,3767,11863,5
morey,1225,3069,2201,3252,2116,11863,5
vires,404,2239,2201,3252,3767,11863,5
cenis,1512,2863,1757,1963,3767,11862,5
fines,847,2239,1757,3252,3767,11862,5
bites,1555,2239,1048,3252,3767,11861,5
tarps,1264,4103,2201,526,3767,11861,5
calie,1512,4103,1603,1963,2679,11860,5
hines,844,2239,1757,3252,3767,11859,5
balds,1555,4103,1603,829,3767,11857,5
hants,844,4103,1757,1385,3767,11856,5
ualis,420,4103,1603,1963,3767,11856,5
taels,1264,4103,1421,1295,3767,11850,5
doges,1128,3069,616,3252,3767,11832,5
darks,1128,4103,2201,628,3767,11827,5
giles,965,2239,1603,3252,3767,11826,5
waney,596,4103,1757,3252,2116,11824,5
fomes,847,3069,885,3252,3767,11820,5
cites,1512,2239,1048,3252,3767,11818,5
cozes,1512,3069,217,3252,3767,11817,5
homes,844,3069,885,3252,3767,11817,5
caner,1512,4103,1757,3252,1190,11814,5
boxes,1555,3069,170,3252,3767,11813,5
jarls,446,4103,2201,1295,3767,11812,5
banks,1555,4103,1757,628,3767,11810,5
lairs,1046,4103,1668,1225,3767,11809,5
riles,948,2239,1603,3252,3767,11809,5
saone,2206,4103,1426,1391,2679,11805,5
kines,789,2239,1757,3252,3767,11804,5
sarge,2206,4103,2201,612,2679,11801,5
lobes,1046,3069,664,3252,3767,11798,5
bangs,1555,4103,1757,612,3767,11794,5
padis,1184,4103,774,1963,3767,11791,5
carle,1512,4103,2201,1295,2679,11790,5
bries,1555,1543,1668,3252,3767,11785,5
notes,647,3069,1048,3252,3767,11783,5
rails,948,4103,1668,1295,3767,11781,5
berns,1555,2863,2201,1391,3767,11777,5
dopes,1128,3069,560,3252,3767,11776,5
fains,847,4103,1668,1391,3767,11776,5
coxes,1512,3069,170,3252,3767,11770,5
faits,847,4103,1668,1385,3767,11770,5
dorey,1128,3069,2201,3252,2116,11766,5
tabis,1264,4103,664,1963,3767,11761,5
tokes,1264,3069,406,3252,3767,11758,5
fanos,847,4103,1757,1282,3767,11756,5
belis,1555,2863,1603,1963,3767,11751,5
manus,1225,4103,1757,899,3767,11751,5
loges,1046,3069,616,3252,3767,11750,5
boney,1555,3069,1757,3252,2116,11749,5
fards,847,4103,2201,829,3767,11747,5
larks,1046,4103,2201,628,3767,11745,5
hards,844,4103,2201,829,3767,11744,5
matey,1225,4103,1048,3252,2116,11744,5
cries,1512,1543,1668,3252,3767,11742,5
sauer,2206,4103,990,3252,1190,11741,5
tared,1264,4103,2201,3252,917,11737,5
boats,1555,3069,1959,1385,3767,11735,5
karie,789,4103,2201,1963,2679,11735,5
aides,1698,2239,774,3252,3767,11730,5
moves,1225,3069,417,3252,3767,11730,5
dunes,1128,1824,1757,3252,3767,11728,5
manie,1225,4103,1757,1963,2679,11727,5
sadie,2206,4103,774,1963,2679,11725,5
mokes,1225,3069,406,3252,3767,11719,5
kains,789,4103,1668,1391,3767,11718,5
parel,1184,4103,2201,3252,971,11711,5
panus,1184,4103,1757,899,3767,11710,5
tules,1264,1824,1603,3252,3767,11710,5
files,847,2239,1603,3252,3767,11708,5
coney,1512,3069,1757,3252,2116,11706,5
baler,1555,4103,1603,3252,1190,11703,5
halts,844,4103,1603,1385,3767,11702,5
robes,948,3069,664,3252,3767,11700,5
sorel,2206,3069,2201,3252,971,11699,5
lopes,1046,3069,560,3252,3767,11694,5
coats,1512,3069,1959,1385,3767,11692,5
yarns,225,4103,2201,1391,3767,11687,5
donis,1128,3069,1757,1963,3767,11684,5
claes,1512,1193,1959,3252,3767,11683,5
goias,965,3069,1668,2214,3767,11683,5
mands,1225,4103,1757,829,3767,11681,5
fails,847,4103,1668,1295,3767,11680,5
pokes,1184,3069,406,3252,3767,11678,5
hails,844,4103,1668,1295,3767,11677,5
janey,446,4103,1757,3252,2116,11674,5
korea,789,3069,2201,3252,2362,11673,5
melas,1225,2863,1603,2214,3767,11672,5
mules,1225,1824,1603,3252,3767,11671,5
waley,596,4103,1603,3252,2116,11670,5
cauls,1512,4103,990,1295,3767,11667,5
maius,1225,4103,1668,899,3767,11662,5
pared,1184,4103,2201,3252,917,11657,5
tapis,1264,4103,560,1963,3767,11657,5
balks,1555,4103,1603,628,3767,11656,5
poeas,1184,3069,1421,2214,3767,11655,5
botas,1555,3069,1048,2214,3767,11653,5
morns,1225,3069,2201,1391,3767,11653,5
gaons,965,4103,1426,1391,3767,11652,5
solen,2206,3069,1603,3252,1522,11652,5
morts,1225,3069,2201,1385,3767,11647,5
lunes,1046,1824,1757,3252,3767,11646,5
balms,1555,4103,1603,612,3767,11640,5
tarne,1264,4103,2201,1391,2679,11638,5
samer,2206,4103,885,3252,1190,11636,5
talus,1264,4103,1603,899,3767,11636,5
doves,1128,3069,417,3252,3767,11633,5
danie,1128,4103,1757,1963,2679,11630,5
pules,1184,1824,1603,3252,3767,11630,5
ceros,1512,2863,2201,1282,3767,11625,5
darbs,1128,4103,2201,423,3767,11622,5
kails,789,4103,1668,1295,3767,11622,5
manet,1225,4103,1757,3252,1284,11621,5
nomes,647,3069,885,3252,3767,11620,5
calks,1512,4103,1603,628,3767,11613,5
porns,1184,3069,2201,1391,3767,11612,5
talie,1264,4103,1603,1963,2679,11612,5
wines,596,2239,1757,3252,3767,11611,5
